genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
"['dark trap', 'florida rap', 'sad rap', 'underground hip hop', 'vapor trap']",https://api.spotify.com/v1/artists/5IbEL2xjRtKsunfmsahLuO,5IbEL2xjRtKsunfmsahLuO,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb7af717e8e89233b143608e49', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051747af717e8e89233b143608e49', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1787af717e8e89233b143608e49', 'width': 160}]",$NOT,79,artist,spotify:artist:5IbEL2xjRtKsunfmsahLuO,https://open.spotify.com/artist/5IbEL2xjRtKsunfmsahLuO,,575347
"['chanson', 'french indie pop', 'french pop', 'french reggae', 'french rock', 'nouvelle chanson francaise']",https://api.spotify.com/v1/artists/6soPpJHlCtN6SY8pWlfbC6,6soPpJHlCtN6SY8pWlfbC6,"[{'height': 640, 'url': 'https://i.scdn.co/image/6358265522e98b29299d1ee193b7ff674f4e3249', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/dd79c281d5c072e058179fb6710a5f9a64c14b04', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/1ade463f5dd99a033555582a0790a0f50d7739f3', 'width': 160}]",-M-,62,artist,spotify:artist:6soPpJHlCtN6SY8pWlfbC6,https://open.spotify.com/artist/6soPpJHlCtN6SY8pWlfbC6,,310686
"['french hip hop', 'old school rap francais']",https://api.spotify.com/v1/artists/5nTMNNNwQMoCYgzUXdUaB6,5nTMNNNwQMoCYgzUXdUaB6,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737024a738bca6791bee53e14b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027024a738bca6791bee53e14b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517024a738bca6791bee53e14b', 'width': 64}]",113,53,artist,spotify:artist:5nTMNNNwQMoCYgzUXdUaB6,https://open.spotify.com/artist/5nTMNNNwQMoCYgzUXdUaB6,,136861
"['french hip hop', 'pop urbaine', 'rap francais']",https://api.spotify.com/v1/artists/7rTPCNINGzMp3Hc8Xqht5Z,7rTPCNINGzMp3Hc8Xqht5Z,"[{'height': 640, 'url': 'https://i.scdn.co/image/b3c0735edf2349c3724103a753219bec62ff2f1b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/a21e68ed60871e6277b3d6b6fe2bcbd76abf7322', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/97e33af158691d11eafc59d50c38237edb8534ac', 'width': 160}]",13 Block,64,artist,spotify:artist:7rTPCNINGzMp3Hc8Xqht5Z,https://open.spotify.com/artist/7rTPCNINGzMp3Hc8Xqht5Z,,453093
"['french hip hop', 'french pop', 'rap inde']",https://api.spotify.com/v1/artists/4CH2uNha7qT33gsr1y60Ca,4CH2uNha7qT33gsr1y60Ca,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fe7de113e2b9dbf62c3a4968', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02fe7de113e2b9dbf62c3a4968', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851fe7de113e2b9dbf62c3a4968', 'width': 64}]",1995,50,artist,spotify:artist:4CH2uNha7qT33gsr1y60Ca,https://open.spotify.com/artist/4CH2uNha7qT33gsr1y60Ca,,186796
"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",https://api.spotify.com/v1/artists/17lzZA2AlOHwCwFALHttmp,17lzZA2AlOHwCwFALHttmp,"[{'height': 640, 'url': 'https://i.scdn.co/image/470dd77da564ec4cb352dcd2664ce31c337c0661', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/540f28182e6a8ee6bc3b88ea7b07f2677aad053b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/47aa6fbfae2214c7c257ca47d03d82c6203e8ecb', 'width': 160}]",2 Chainz,84,artist,spotify:artist:17lzZA2AlOHwCwFALHttmp,https://open.spotify.com/artist/17lzZA2AlOHwCwFALHttmp,,6226264
"['atl hip hop', 'rap', 'trap']",https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft,1URnnhqYAYcrqrcwql10ft,"[{'height': 640, 'url': 'https://i.scdn.co/image/fcbc4560c03099fec55cf55054932ca3808e33d3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/a84657e5ec7be5af3e2bf896ad0927789262b296', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/4882ead0ff08608c276c98cf11bcfb87cb59fd1c', 'width': 160}]",21 Savage,88,artist,spotify:artist:1URnnhqYAYcrqrcwql10ft,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,,9394921
"['trap', 'trap soul', 'underground hip hop', 'vapor trap']",https://api.spotify.com/v1/artists/4isewEHTP7Az2QheDdBQ6J,4isewEHTP7Az2QheDdBQ6J,"[{'height': 640, 'url': 'https://i.scdn.co/image/0f5868d270ab0ad4e404ad662f1d0aaa44f54f54', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/a03c3a2daeb63bb479a7da77d03e80eba1b7f696', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/a64e79a9ece80b19b81f8f804e1458d13eb09ffd', 'width': 160}]",24hrs,65,artist,spotify:artist:4isewEHTP7Az2QheDdBQ6J,https://open.spotify.com/artist/4isewEHTP7Az2QheDdBQ6J,,169474
['rap calme'],https://api.spotify.com/v1/artists/5FK0v12GGmqj8kzmiWDPRT,5FK0v12GGmqj8kzmiWDPRT,"[{'height': 640, 'url': 'https://i.scdn.co/image/9090c1ebb7dbfa6cb0db03ea1286bbc58b95427f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/e4dd880950d8bda5a8aa8cfd07f42a6ff1f6b9bd', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/064fd42665d6af926ded041c00137190346be1bc', 'width': 160}]",2TH,55,artist,spotify:artist:5FK0v12GGmqj8kzmiWDPRT,https://open.spotify.com/artist/5FK0v12GGmqj8kzmiWDPRT,,40391
"['french hip hop', 'rap calme']",https://api.spotify.com/v1/artists/7Iw6TwPkS7bja1OrA3Neal,7Iw6TwPkS7bja1OrA3Neal,"[{'height': 640, 'url': 'https://i.scdn.co/image/f2c5dc7312779a08cc91b6f6008e9004ca3cf440', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/a9d41759b0cfcb82dd5b3aa0ca9623e5a636a2c0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/a02a9028dc7664b34a5d1f4166dbc63d7cb351d8', 'width': 160}]",2zer,49,artist,spotify:artist:7Iw6TwPkS7bja1OrA3Neal,https://open.spotify.com/artist/7Iw6TwPkS7bja1OrA3Neal,,23598
"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",https://api.spotify.com/v1/artists/3q7HBObVc0L8jNeTe5Gofh,3q7HBObVc0L8jNeTe5Gofh,"[{'height': 977, 'url': 'https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2', 'width': 781}, {'height': 801, 'url': 'https://i.scdn.co/image/6f0da41419b31d9d2ba55d2df212f59ad0668118', 'width': 640}, {'height': 250, 'url': 'https://i.scdn.co/image/df73c0cebe56cafe705ffdba5085ccbd5680bd16', 'width': 200}, {'height': 80, 'url': 'https://i.scdn.co/image/1a44043542c997ef835c89e185f0cf79d7402153', 'width': 64}]",50 Cent,86,artist,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,,6978310
"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",https://api.spotify.com/v1/artists/4IVAbR2w4JJNJDDRFP3E83,4IVAbR2w4JJNJDDRFP3E83,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb7762326163d48d5af4eae980', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051747762326163d48d5af4eae980', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1787762326163d48d5af4eae980', 'width': 160}]",6LACK,87,artist,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,https://open.spotify.com/artist/4IVAbR2w4JJNJDDRFP3E83,,2857570
"['alt z', 'indie poptimism', 'rebel blues']",https://api.spotify.com/v1/artists/1YznSk5tLLp9BnzuNgghrZ,1YznSk5tLLp9BnzuNgghrZ,"[{'height': 640, 'url': 'https://i.scdn.co/image/1a06147b3879e174b0cc6c7df4eb1cef07472623', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/0c777f7380786c36412f97d413541757d1c925a0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/82bf83f567dcb030329b5ca4a9faaa5a8bb1ef35', 'width': 160}]",8 Graves,58,artist,spotify:artist:1YznSk5tLLp9BnzuNgghrZ,https://open.spotify.com/artist/1YznSk5tLLp9BnzuNgghrZ,,78159
"['canadian hip hop', 'melodic rap', 'rap', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']",https://api.spotify.com/v1/artists/2I9SLklAOG0vdMiUUMNxRl,2I9SLklAOG0vdMiUUMNxRl,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8ae972a423fa21158266fac8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748ae972a423fa21158266fac8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788ae972a423fa21158266fac8', 'width': 160}]",88GLAM,63,artist,spotify:artist:2I9SLklAOG0vdMiUUMNxRl,https://open.spotify.com/artist/2I9SLklAOG0vdMiUUMNxRl,,352677
"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",https://api.spotify.com/v1/artists/5dHt1vcEm9qb8fCyLcB3HL,5dHt1vcEm9qb8fCyLcB3HL,"[{'height': 640, 'url': 'https://i.scdn.co/image/25bdf244c941a7dcf01a74f56a37e7f30eb6b1a4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/d0f232d5fda50d15b0604f9099dea11c6786c19f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/634c91093d53fcbfea43d46680a9f9374aea55e4', 'width': 160}]",A$AP Ferg,79,artist,spotify:artist:5dHt1vcEm9qb8fCyLcB3HL,https://open.spotify.com/artist/5dHt1vcEm9qb8fCyLcB3HL,,2896189
"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']",https://api.spotify.com/v1/artists/7yO4IdJjCEPz7YgZMe25iS,7yO4IdJjCEPz7YgZMe25iS,"[{'height': 640, 'url': 'https://i.scdn.co/image/fa30308f04ed43a632e19c24b7ac0b6162ce4cde', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/6dc965defbd39e555030f5d57eca9fd921a7a89a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/a215de750205100dc5dbebe1816fbeaa41245f9a', 'width': 160}]",A$AP Mob,68,artist,spotify:artist:7yO4IdJjCEPz7YgZMe25iS,https://open.spotify.com/artist/7yO4IdJjCEPz7YgZMe25iS,,1683023
"['east coast hip hop', 'hip hop', 'rap', 'trap']",https://api.spotify.com/v1/artists/13ubrt8QOOCPljQ2FL1Kca,13ubrt8QOOCPljQ2FL1Kca,"[{'height': 640, 'url': 'https://i.scdn.co/image/cce607c4d975ae49d68b484eaef51a6413fa73b1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/80109a31021dd821ae66d6d47ca2af399463a56c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ea6a2be8645a788d0fa1eb1adb6a02f8bc3148fc', 'width': 160}]",A$AP Rocky,86,artist,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,,8924188
"['rap', 'underground hip hop']",https://api.spotify.com/v1/artists/0tPjSrb43a58uznKru1k2P,0tPjSrb43a58uznKru1k2P,"[{'height': 640, 'url': 'https://i.scdn.co/image/47cd40b36d302d071e59b814f4660ed9780a5963', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/29f066167a1915e2424c2cc4025864f75745af6e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6c0069056afcdf8aaf78bfd1af901c6b907aa0e1', 'width': 160}]",A$AP Twelvyy,61,artist,spotify:artist:0tPjSrb43a58uznKru1k2P,https://open.spotify.com/artist/0tPjSrb43a58uznKru1k2P,,239144
"['trap soul', 'underground hip hop']",https://api.spotify.com/v1/artists/0pkwrPVI8UyXtPkavyJoZ4,0pkwrPVI8UyXtPkavyJoZ4,"[{'height': 640, 'url': 'https://i.scdn.co/image/13660efb160c9688b6e10619d07a09b2d4111aa6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/6bb5a7343e09fd30713af0fa2254bebb6be6ec28', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/d677f72d984f47fbb72c422dde483b5a4df24aca', 'width': 160}]",A.CHAL,60,artist,spotify:artist:0pkwrPVI8UyXtPkavyJoZ4,https://open.spotify.com/artist/0pkwrPVI8UyXtPkavyJoZ4,,142644
"['french hip hop', 'pop urbaine', 'rap calme', 'rap conscient', 'rap francais', 'rap inde']",https://api.spotify.com/v1/artists/2ktpq7bp4m1quizyEmp4r1,2ktpq7bp4m1quizyEmp4r1,"[{'height': 640, 'url': 'https://i.scdn.co/image/c6f816af7ea6671485127a7b61600d843f94306e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/0372784fe479ec2a9e9c9f1dd8dae5f221eedca9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/1b9b0c90e0f483964cc6a2e33908ad602b09204e', 'width': 160}]",A2h,53,artist,spotify:artist:2ktpq7bp4m1quizyEmp4r1,https://open.spotify.com/artist/2ktpq7bp4m1quizyEmp4r1,,122777
"['deep euro house', 'minimal techno', 'tech house']",https://api.spotify.com/v1/artists/64fjAjykuM8Oc3Bqup4g72,64fjAjykuM8Oc3Bqup4g72,"[{'height': 640, 'url': 'https://i.scdn.co/image/f7697820d936b3002aea508fd03b09090c88d31a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab16f74219d0405699d0b92a319271ab0bb71f83', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/c40ce3956fbc2bb19acae2f4df7d81efe721b6d1', 'width': 160}]",AKA AKA,59,artist,spotify:artist:64fjAjykuM8Oc3Bqup4g72,https://open.spotify.com/artist/64fjAjykuM8Oc3Bqup4g72,,64914
"['uk drill', 'uk hip hop']",https://api.spotify.com/v1/artists/1ZHk8dteZz6Vi2HFp4hGoM,1ZHk8dteZz6Vi2HFp4hGoM,"[{'height': 640, 'url': 'https://i.scdn.co/image/4c5486699b9877ce5c6751435ed1afc774b46d84', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/7f73c52433970324a268159cb96b7a2687ca982a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/8a220e8f291248e986f9a1cb8e857d33165fdfc9', 'width': 160}]",Abra Cadabra,71,artist,spotify:artist:1ZHk8dteZz6Vi2HFp4hGoM,https://open.spotify.com/artist/1ZHk8dteZz6Vi2HFp4hGoM,,198700
"['spanish hip hop', 'urbano espanol']",https://api.spotify.com/v1/artists/4XbpehZzAcBrlvHAwn5rZu,4XbpehZzAcBrlvHAwn5rZu,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ff90ff523c312f1e270c0ad6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ff90ff523c312f1e270c0ad6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ff90ff523c312f1e270c0ad6', 'width': 64}]",Acqua Toffana,26,artist,spotify:artist:4XbpehZzAcBrlvHAwn5rZu,https://open.spotify.com/artist/4XbpehZzAcBrlvHAwn5rZu,,4911
